feature,importance
counter_id 100007049-102007049,0.13372037
counter_id 100057445-104057445,0.12588271
counter_id 100057445-103057445,0.081989065
counter_id 100044493-SC,0.06242825
hour,0.053147107
counter_id 100050876-104050876,0.03467958
counter_id 100036719-104036719,0.031022161
longitude,0.02924213
counter_id 100057329-103057329,0.028935453
counter_id 100056327-104056327,0.025208957
counter_id 100056046-SC,0.0251179
counter_id 100056331-104056331,0.022004148
counter_id 100056336-105056336,0.019843178
counter_id 100057380-103057380,0.01951255
latitude,0.019463312
counter_id 100056223-SC,0.016189378
counter_id 300014702-353245971,0.014282821
counter_id 100056330-104056330,0.013593293
counter_id 100056331-103056331,0.012792425
month,0.012560751
is_weekend,0.010899951
t,0.010098534
counter_id 100047547-104047547,0.009790856
holidays,0.009539879
counter_id 100047545-104047545,0.008676613
counter_id 100063175-353277235,0.0081557175
weekday,0.0074850246
counter_id 100047546-103047546,0.0072730626
counter_id 100063175-353277233,0.0069253524
counter_id 100060178-101060178,0.0068736323
counter_id 100056335-104056335,0.0062948344
counter_id 100056334-104056334,0.0057831644
counter_id 100056329-103056329,0.0053610574
counter_id 100060178-102060178,0.004865507
counter_id 100042374-110042374,0.004795168
counter_id 100056332-104056332,0.0047280337
u,0.004722196
counter_id 100047547-103047547,0.0046631293
counter_id 100057380-104057380,0.0046559093
etat_sol,0.004286585
Lockdown,0.0042061466
counter_id 100036719-103036719,0.0039642244
soft-curfew,0.0039514527
counter_id 100056226-103056226,0.0038938536
counter_id 100049407-353255859,0.0034774076
counter_id 100047546-104047546,0.0033656042
counter_id 100057329-104057329,0.0032008216
year,0.0031933703
counter_id 100056327-103056327,0.0029539203
hard-curfew,0.0028031752
counter_id 100056226-104056226,0.0027405454
counter_id 100056330-103056330,0.0026316016
counter_id 100050876-103050876,0.0025441044
counter_id 300014702-353245972,0.002527538
counter_id 100047545-103047545,0.0024186822
counter_id 100036718-103036718,0.0024171607
counter_id 100036718-104036718,0.0023755059
ff,0.0023711845
counter_id 100042374-109042374,0.0022963756
counter_id 100049407-353255860,0.0022941618
counter_id 100047542-104047542,0.0020388965
counter_id 100056336-106056336,0.0020171949
day,0.0019206599
rr3,0.0017204898
ht_neige,0.0015082707
counter_id 100056334-103056334,0.0014594251
n,0.0014145244
counter_id 100047542-103047542,0.0013316603
counter_id 100056335-103056335,0.0013255284
vv,0.0012117821
counter_id 100056329-104056329,0.0011399098
counter_id 100056332-103056332,0.0011182539
dd,0.0010879893
counter_id 100056047-SC,0.001048597
counter_id 100047548-104047548,0.0010004067
counter_id 100047548-103047548,0.0008285466
is_holiday,0.0007112069
