colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,mean_rmse,std_rmse
0.7,0.01,5,1,500,0.7,0.8454147187934549,0.08198608682397258
0.7,0.01,5,1,500,0.8,0.8480785706799822,0.0819177085229525
0.7,0.01,5,1,500,0.9,0.845202618214015,0.08185716691264006
0.7,0.01,5,1,1000,0.7,0.8108127268966691,0.07221894585631829
0.7,0.01,5,1,1000,0.8,0.8136017104751885,0.07540476346430347
0.7,0.01,5,1,1000,0.9,0.8099349516879221,0.0764889761668885
0.7,0.01,5,1,1500,0.7,0.7971824568916146,0.06683884724884723
0.7,0.01,5,1,1500,0.8,0.7999277328229654,0.06742762225987009
0.7,0.01,5,1,1500,0.9,0.7962331122716012,0.06737757694661659
0.7,0.01,5,3,500,0.7,0.8453948620791498,0.08239842191019081
0.7,0.01,5,3,500,0.8,0.8474869069590746,0.08193643332861138
0.7,0.01,5,3,500,0.9,0.8458592179143691,0.08217264487106767
0.7,0.01,5,3,1000,0.7,0.8106252198534623,0.07487775667667242
0.7,0.01,5,3,1000,0.8,0.8132896868045887,0.075463194255783
0.7,0.01,5,3,1000,0.9,0.8114524823255496,0.07779049930519157
0.7,0.01,5,3,1500,0.7,0.7966421902393969,0.06840269884182022
0.7,0.01,5,3,1500,0.8,0.7996108416435337,0.06752113281880091
0.7,0.01,5,3,1500,0.9,0.7984818280708086,0.06897881306328121
0.7,0.01,5,5,500,0.7,0.8458055904665855,0.08302839903476295
0.7,0.01,5,5,500,0.8,0.8481926573710419,0.08218436913949789
0.7,0.01,5,5,500,0.9,0.8448776379531411,0.08226095727186948
0.7,0.01,5,5,1000,0.7,0.8108106165442097,0.0753941584279243
0.7,0.01,5,5,1000,0.8,0.8130912410503551,0.0762387058689525
0.7,0.01,5,5,1000,0.9,0.8110356089588657,0.07671071753646494
0.7,0.01,5,5,1500,0.7,0.7971379758189484,0.06827643795129987
0.7,0.01,5,5,1500,0.8,0.7999117332897837,0.06634897445785555
0.7,0.01,5,5,1500,0.9,0.797902600625318,0.06862309478136595
0.7,0.01,7,1,500,0.7,0.8066975880016342,0.0757194794767697
0.7,0.01,7,1,500,0.8,0.8085118199787502,0.0726983169181012
0.7,0.01,7,1,500,0.9,0.8107154304385951,0.07327773823676392
0.7,0.01,7,1,1000,0.7,0.7880597712962316,0.047474498212282445
0.7,0.01,7,1,1000,0.8,0.7913695879783715,0.04891079584280633
0.7,0.01,7,1,1000,0.9,0.7884960012100188,0.04908027292843272
0.7,0.01,7,1,1500,0.7,0.7794902960956225,0.034260014661246854
0.7,0.01,7,1,1500,0.8,0.7825457108342002,0.03612288863963608
0.7,0.01,7,1,1500,0.9,0.7801084838802173,0.033108478241291525
0.7,0.01,7,3,500,0.7,0.8064051639405637,0.07629558007269904
0.7,0.01,7,3,500,0.8,0.8085701948447938,0.0718094788750678
0.7,0.01,7,3,500,0.9,0.8114536543065378,0.07354205287678246
0.7,0.01,7,3,1000,0.7,0.7880685571601729,0.04880577960317521
0.7,0.01,7,3,1000,0.8,0.7922498274401556,0.047219978015562825
0.7,0.01,7,3,1000,0.9,0.7926757843133605,0.04959984861801857
0.7,0.01,7,3,1500,0.7,0.7797426747049776,0.035649325366619654
0.7,0.01,7,3,1500,0.8,0.7827269295438247,0.033264690668358646
0.7,0.01,7,3,1500,0.9,0.7855261934970906,0.03667021520209011
0.7,0.01,7,5,500,0.7,0.8060345260999087,0.07489321697996193
0.7,0.01,7,5,500,0.8,0.8093625154922176,0.07115094841826763
0.7,0.01,7,5,500,0.9,0.8105388674212757,0.07337842712155977
0.7,0.01,7,5,1000,0.7,0.7867039529056143,0.046851851871297555
0.7,0.01,7,5,1000,0.8,0.7899432450047623,0.04617932594301559
0.7,0.01,7,5,1000,0.9,0.7905685209117594,0.04801339196116792
0.7,0.01,7,5,1500,0.7,0.7799994073708412,0.035603000000808585
0.7,0.01,7,5,1500,0.8,0.7815152182134659,0.032633943187113656
0.7,0.01,7,5,1500,0.9,0.7811856363318223,0.03431961591050927
0.7,0.01,9,1,500,0.7,0.7958114417951294,0.068411131385043
0.7,0.01,9,1,500,0.8,0.7976359929900977,0.06944819246755629
0.7,0.01,9,1,500,0.9,0.7972102879984446,0.0683101373722263
0.7,0.01,9,1,1000,0.7,0.7832374723241855,0.039605214951006405
