feature,importance
counter_id 100007049-102007049,0.1831197
counter_id 100057445-104057445,0.068622395
hour,0.052444004
counter_id 100044493-SC,0.044900067
counter_id 100057445-103057445,0.034994043
counter_id 100050876-104050876,0.028529607
counter_id 100057329-103057329,0.028361775
counter_id 100056046-SC,0.0280336
counter_id 100036719-104036719,0.024999077
counter_id 100056223-SC,0.019765906
longitude,0.018593963
counter_id 100056327-104056327,0.018496744
counter_id 100056336-105056336,0.017438786
counter_id 100057380-103057380,0.016575929
counter_id 300014702-353245971,0.016172772
counter_id 100063175-353277233,0.015526062
counter_id 100056330-104056330,0.015267745
counter_id 100063175-353277235,0.014625999
counter_id 100036719-103036719,0.013466788
counter_id 100056226-104056226,0.012950655
counter_id 100060178-101060178,0.012859101
counter_id 100047545-104047545,0.012139851
month,0.011210989
counter_id 100047547-104047547,0.010686476
counter_id 100060178-102060178,0.01033245
counter_id 100042374-110042374,0.010294774
latitude,0.010251136
counter_id 100057380-104057380,0.00962573
counter_id 100057329-104057329,0.009229326
counter_id 100047546-104047546,0.009117028
counter_id 100047546-103047546,0.009007026
counter_id 100056334-104056334,0.008658885
counter_id 100049407-353255859,0.008215551
counter_id 100036718-104036718,0.007830311
counter_id 100050876-103050876,0.0076646605
counter_id 100056335-104056335,0.007654552
counter_id 100056330-103056330,0.0073876
is_weekend,0.0072766407
holidays,0.0071777804
counter_id 100047547-103047547,0.0067873243
counter_id 100056329-103056329,0.0067564035
counter_id 100049407-353255860,0.0066020237
counter_id 100047542-104047542,0.0063931597
counter_id 100056332-104056332,0.0063738944
counter_id 100056334-103056334,0.0060094576
counter_id 100036718-103036718,0.005964391
weekday,0.005785542
counter_id 100056331-104056331,0.005613156
counter_id 100056327-103056327,0.0056050583
counter_id 100042374-109042374,0.005514851
year,0.0054695476
counter_id 100056331-103056331,0.0053591137
counter_id 100056336-106056336,0.0051966407
t,0.0047284793
u,0.004664797
counter_id 100047548-103047548,0.0042904583
soft-curfew,0.0039836075
Lockdown,0.003826059
counter_id 100056335-103056335,0.00360519
counter_id 300014702-353245972,0.0035128535
counter_id 100056226-103056226,0.003452969
hard-curfew,0.0029931648
etat_sol,0.0029252148
counter_id 100056332-103056332,0.002709015
counter_id 100056329-104056329,0.0025335015
counter_id 100047545-103047545,0.002325277
counter_id 100047548-104047548,0.002265842
East,0.002056668
ht_neige,0.0020160628
counter_id 100047542-103047542,0.002007113
n,0.0018035879
day,0.0017892704
rr3,0.0017720065
counter_id 100056047-SC,0.0015971743
ff,0.001355273
vv,0.0012659997
West,0.0012632225
South,0.0011688245
is_holiday,0.0011523284
